duration,num_voted_users,num_critic_for_reviews,movie_facebook_likes,imdb_score,budget,gross,title_year,director_name,movie_title
178.0,886204.0,,33000.0,7.9,,760505847.0,2009.0,James Cameron,Avatar 
169.0,471220.0,302.0,0.0,,300000000.0,309404152.0,2007.0,Gore Verbinski,Pirates of the Caribbean: At World's End 
148.0,275868.0,602.0,85000.0,6.8,,200074175.0,2015.0,Sam Mendes,Spectre 
164.0,1144337.0,813.0,164000.0,8.5,250000000.0,448130642.0,2012.0,Christopher Nolan,The Dark Knight Rises 
,8.0,,0.0,7.1,,,,Doug Walker,Star Wars: Episode VII - The Force Awakens             
132.0,212204.0,462.0,24000.0,6.6,263700000.0,,2012.0,Andrew Stanton,John Carter 
156.0,383056.0,392.0,,6.2,258000000.0,336530303.0,2007.0,Sam Raimi,Spider-Man 3 
,294810.0,324.0,29000.0,,,200807262.0,2010.0,,Tangled 
141.0,462669.0,635.0,118000.0,7.5,250000000.0,458991599.0,2015.0,Joss Whedon,Avengers: Age of Ultron 
153.0,321795.0,375.0,10000.0,7.5,250000000.0,,2009.0,,Harry Potter and the Half-Blood Prince 
183.0,371639.0,673.0,,6.9,,330249062.0,2016.0,Zack Snyder,Batman v Superman: Dawn of Justice 
169.0,240396.0,434.0,0.0,6.1,209000000.0,200069408.0,2006.0,Bryan Singer,Superman Returns 
106.0,330784.0,403.0,0.0,,200000000.0,168368427.0,2008.0,Marc Forster,Quantum of Solace 
151.0,522040.0,313.0,5000.0,7.3,225000000.0,423032628.0,2006.0,Gore Verbinski,Pirates of the Caribbean: Dead Man's Chest 
150.0,181792.0,450.0,48000.0,6.5,215000000.0,89289910.0,2013.0,Gore Verbinski,The Lone Ranger 
143.0,,733.0,118000.0,7.2,225000000.0,291021565.0,2013.0,Zack Snyder,Man of Steel 
150.0,,258.0,0.0,6.6,225000000.0,141614023.0,2008.0,Andrew Adamson,The Chronicles of Narnia: Prince Caspian 
173.0,995415.0,703.0,,8.1,220000000.0,623279547.0,2012.0,Joss Whedon,The Avengers 
